img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3
Chair,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_chair_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_chair_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\chair_img3.png,Chaise,Chaise,Chaise
Cheese,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_cheese_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_cheese_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\cheese_img3.png,Fromage,Fromage,Fromage
Coins,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_coins_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_coins_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\coins_img3.png,Sous,Sous,Sous
Computer,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_computer_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_computer_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\computer_img3.png,Théâtre,Théâtre,Ordinateur
Corn,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_corn_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_corn_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\corn_img3.png,Maïs,Maïs,Maïs
Crown,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_crown_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_crown_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\crown_img3.png,Couronne,Couronne,Couronne
Desk,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_desk_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_desk_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\desk_img3.png,Bureau,Bureau,Bureau
Dragonfly,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_dragonfly_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_dragonfly_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\dragonfly_img3.png,Divan,Divan,Libellule
Dress,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_dress_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_dress_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\dress_img3.png,Sapin de Noël,Sapin de Noël,Robe
Elephant,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_elephant_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_elephant_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\elephant_img3.png,Éléphant,Éléphant,Éléphant
Feather,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_feather_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NN_feather_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\feather_img3.png,Mouton,Mouton,Plume
Fireplace,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_fireplace_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YY_fireplace_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\fireplace_img3.png,Foyer,Foyer,Foyer
Fish,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_fish_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\YN_fish_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\fish_img3.png,Œil,Œil,Poisson
Fishbowl,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_fishbowl_img1.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\NY_fishbowl_img2.png,C:\\Users\\que_d\\Documents\\McGill\\LepageLab\\psychopyExperiment_github\\PictureIdentificationTask\\stimuli\\fishbowl_img3.png,Aquarium,Aquarium,Aquarium
