index,img_name,img_1,img_2,img_3,txt_1,txt_2,txt_3,trialType
17,Garbage Can,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_garbage can_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_garbage can_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\garbage can_img3.png,NEZ,NEZ,POUBELLE,main
18,Bat,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_bat_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_bat_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\bat_img3.png,PARAPLUIE,PARAPLUIE,CHAUVE-SOURIS,main
19,Snake,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_snake_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_snake_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\snake_img3.png,CHÂTAIGNE,CHÂTAIGNE,SERPENT,main
20,Fireplace,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_fireplace_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_fireplace_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\fireplace_img3.png,FOYER,FOYER,FOYER,main
21,Ladybug,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_ladybug_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NY_ladybug_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\ladybug_img3.png,COCCINELLE,COCCINELLE,COCCINELLE,main
22,Acorn,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_acorn_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_acorn_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\acorn_img3.png,NUAGE,NUAGE,GLAND,main
23,Book,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_book_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YY_book_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\book_img3.png,LIVRE,LIVRE,LIVRE,main
24,Beehive,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_beehive_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_beehive_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\beehive_img3.png,ÉCUREUIL,ÉCUREUIL,RUCHE,main
25,Carousel,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_carousel_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\YN_carousel_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\carousel_img3.png,MAISON,MAISON,CAROUSSEL,main
26,Angel,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_angel_img1.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\NN_angel_img2.png,C:\\Users\\CRISPlab\\Documents\\CognitiveBiasesStudy\\Tasks\\1-PictureBADE\\stimuli\\angel_img3.png,LAIT,LAIT,ANGE,main
